Lignin ID,9_4518
Adjacency matrix
,1S,2G,3S,4G,5S,6S,7G,8S,9S,
1S,0,1,0,0,0,0,0,0,0,
2G,0,0,1,0,0,0,0,0,0,
3S,0,0,0,1,0,0,0,0,0,
4G,0,0,0,0,1,0,0,0,0,
5S,0,0,0,0,0,1,0,0,0,
6S,0,0,0,0,0,0,1,0,0,
7G,0,0,0,0,0,0,0,0,0,
8S,0,0,0,0,0,0,1,0,0,
9S,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1S,2G,3S,4G,5S,6S,7G,8S,9S,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 
2G,4, 0, B, 0, 0, 0, 0, 0, 0, 
3S,0, 4, 0, B, 0, 0, 0, 0, 0, 
4G,0, 0, 4, 0, B, 0, 0, 0, 0, 
5S,0, 0, 0, 4, 0, B, 0, 0, 0, 
6S,0, 0, 0, 0, 4, 0, B, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 5, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 4, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 
