Lignin ID,9_1235
Adjacency matrix
,1G,2G,3G,4S,5S,6S,7S,8S,9S,
1G,0,1,0,0,0,0,0,0,0,
2G,0,0,1,0,0,0,0,0,0,
3G,0,0,0,1,0,0,0,0,0,
4S,0,0,0,0,1,0,0,0,0,
5S,0,0,0,0,0,1,0,0,0,
6S,0,0,0,0,0,0,1,0,0,
7S,0,0,0,0,0,0,0,1,0,
8S,0,0,0,0,0,0,0,0,1,
9S,0,0,0,0,0,0,0,0,0,

Connectivity matrix
,1G,2G,3G,4S,5S,6S,7S,8S,9S,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 
2G,4, 0, B, 0, 0, 0, 0, 0, 0, 
3G,0, 4, 0, B, 0, 0, 0, 0, 0, 
4S,0, 0, 4, 0, B, 0, 0, 0, 0, 
5S,0, 0, 0, 4, 0, B, 0, 0, 0, 
6S,0, 0, 0, 0, 4, 0, B, 0, 0, 
7S,0, 0, 0, 0, 0, 4, 0, B, 0, 
8S,0, 0, 0, 0, 0, 0, 4, 0, B, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 
