Lignin ID,9_1381
Adjacency matrix
,1S,2S,3S,4G,5S,6S,7G,8S,9G,
1S,0,1,0,0,0,0,0,0,0,
2S,0,0,0,0,0,0,0,0,0,
3S,0,1,0,0,0,0,0,0,0,
4G,0,0,1,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,
7G,0,0,0,0,0,1,0,0,0,
8S,0,0,0,0,0,0,1,0,0,
9G,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1S,2S,3S,4G,5S,6S,7G,8S,9G,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 
2S,B, 0, 4, 0, 0, 0, 0, 0, 0, 
3S,0, B, 0, 4, 0, 0, 0, 0, 0, 
4G,0, 0, B, 0, 4, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 4, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 5, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 4, 
9G,0, 0, 0, 0, 0, 0, 0, B, 0, 
